ID,Geographic Area Name,NumMonitors
25001,"Barnstable County, Massachusetts",52
25003,"Berkshire County, Massachusetts",32
25005,"Bristol County, Massachusetts",22
25007,"Dukes County, Massachusetts",46
25009,"Essex County, Massachusetts",386
25011,"Franklin County, Massachusetts",22
25013,"Hampden County, Massachusetts",246
25015,"Hampshire County, Massachusetts",49
25017,"Middlesex County, Massachusetts",7
25019,"Nantucket County, Massachusetts",0
25021,"Norfolk County, Massachusetts",136
25023,"Plymouth County, Massachusetts",22
25025,"Suffolk County, Massachusetts",556
25027,"Worcester County, Massachusetts",44
